State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
29,000,MO,Missouri,908394,890929,925859,15.5,15.2,15.8,289287,279932,298642,21.3,20.6,22,192099,184094,200104,19.5,18.7,20.3,48288,47734,48842,89931,85139,94723,24.7,23.4,26
29,001,MO,Adair County,6109,5346,6872,26.9,23.5,30.3,1078,820,1336,23.4,17.8,29,721,538,904,21,15.7,26.3,35425,32020,38830,.,.,.,.,.,.
29,003,MO,Andrew County,1834,1498,2170,10.7,8.7,12.7,520,390,650,13.3,10,16.6,369,272,466,12.3,9.1,15.5,56309,50950,61668,.,.,.,.,.,.
29,005,MO,Atchison County,645,501,789,12.2,9.5,14.9,182,137,227,17.2,12.9,21.5,124,91,157,16.1,11.8,20.4,45997,41823,50171,.,.,.,.,.,.
29,007,MO,Audrain County,4084,3230,4938,17.2,13.6,20.8,1600,1204,1996,27.5,20.7,34.3,1047,763,1331,25.6,18.7,32.5,41302,38373,44231,.,.,.,.,.,.
29,009,MO,Barry County,7101,5801,8401,20.2,16.5,23.9,2625,2114,3136,32.7,26.3,39.1,1901,1533,2269,33,26.6,39.4,38139,35247,41031,.,.,.,.,.,.
29,011,MO,Barton County,2280,1861,2699,19.1,15.6,22.6,827,651,1003,28.1,22.1,34.1,567,442,692,25.1,19.6,30.6,37581,34361,40801,.,.,.,.,.,.
29,013,MO,Bates County,2976,2463,3489,18.4,15.2,21.6,1003,801,1205,25.9,20.7,31.1,704,558,850,24.3,19.3,29.3,41462,38219,44705,.,.,.,.,.,.
29,015,MO,Benton County,3614,2942,4286,19.5,15.9,23.1,995,764,1226,30.8,23.7,37.9,711,539,883,28.4,21.5,35.3,33236,30829,35643,.,.,.,.,.,.
29,017,MO,Bollinger County,2466,1999,2933,20.1,16.3,23.9,770,597,943,28.5,22.1,34.9,536,412,660,27.3,21,33.6,39033,35083,42983,.,.,.,.,.,.
29,019,MO,Boone County,31804,29280,34328,19.5,18,21,6093,5040,7146,17.7,14.6,20.8,3983,3185,4781,16.5,13.2,19.8,50305,47568,53042,.,.,.,.,.,.
29,021,MO,Buchanan County,15129,12902,17356,17.8,15.2,20.4,5316,4405,6227,26.8,22.2,31.4,3552,2894,4210,25.5,20.8,30.2,45431,42392,48470,.,.,.,.,.,.
29,023,MO,Butler County,8960,7324,10596,21.3,17.4,25.2,3177,2507,3847,32.2,25.4,39,2033,1519,2547,28.8,21.5,36.1,35774,33238,38310,.,.,.,.,.,.
29,025,MO,Caldwell County,1423,1169,1677,16.2,13.3,19.1,466,363,569,22,17.1,26.9,323,249,397,19.8,15.3,24.3,43111,39405,46817,.,.,.,.,.,.
29,027,MO,Callaway County,5779,4763,6795,14.2,11.7,16.7,1868,1474,2262,20.4,16.1,24.7,1238,954,1522,18.6,14.3,22.9,49384,45331,53437,.,.,.,.,.,.
29,029,MO,Camden County,7600,6519,8681,17.5,15,20,2095,1623,2567,27.1,21,33.2,1424,1084,1764,24.6,18.7,30.5,44410,41073,47747,.,.,.,.,.,.
29,031,MO,Cape Girardeau County,12603,10964,14242,17,14.8,19.2,3364,2708,4020,20.5,16.5,24.5,2192,1725,2659,18.4,14.5,22.3,47705,44355,51055,.,.,.,.,.,.
29,033,MO,Carroll County,1472,1160,1784,16.5,13,20,489,372,606,24.4,18.5,30.3,338,255,421,23.3,17.6,29,39017,34965,43069,.,.,.,.,.,.
29,035,MO,Carter County,1492,1158,1826,24,18.6,29.4,523,391,655,35.4,26.5,44.3,375,277,473,34.9,25.8,44,32170,29084,35256,.,.,.,.,.,.
29,037,MO,Cass County,10455,8671,12239,10.5,8.7,12.3,3484,2743,4225,14.1,11.1,17.1,2287,1762,2812,12.3,9.5,15.1,60970,58929,63011,.,.,.,.,.,.
29,039,MO,Cedar County,2946,2323,3569,21.4,16.9,25.9,1032,783,1281,33,25.1,40.9,692,513,871,29.7,22,37.4,33631,30178,37084,.,.,.,.,.,.
29,041,MO,Chariton County,894,669,1119,12,9,15,345,258,432,20.3,15.2,25.4,243,180,306,20.1,14.9,25.3,43049,39969,46129,.,.,.,.,.,.
29,043,MO,Christian County,9217,7545,10889,11.3,9.2,13.4,3610,2902,4318,17.2,13.8,20.6,2344,1810,2878,14.9,11.5,18.3,51831,49612,54050,.,.,.,.,.,.
29,045,MO,Clark County,1067,831,1303,15.7,12.2,19.2,367,279,455,23.5,17.9,29.1,254,190,318,22.1,16.5,27.7,43298,39479,47117,.,.,.,.,.,.
29,047,MO,Clay County,21041,17994,24088,9.1,7.8,10.4,6909,5524,8294,12.1,9.7,14.5,4463,3451,5475,10.6,8.2,13,61598,58909,64287,.,.,.,.,.,.
29,049,MO,Clinton County,2453,1980,2926,12.4,10,14.8,801,620,982,17,13.2,20.8,538,410,666,15.2,11.6,18.8,51221,48021,54421,.,.,.,.,.,.
29,051,MO,Cole County,9521,8182,10860,13.3,11.4,15.2,3107,2519,3695,18,14.6,21.4,1906,1460,2352,15.2,11.6,18.8,51885,49414,54356,.,.,.,.,.,.
29,053,MO,Cooper County,2230,1761,2699,14,11.1,16.9,738,555,921,20,15.1,24.9,504,374,634,18.5,13.7,23.3,42166,38167,46165,.,.,.,.,.,.
29,055,MO,Crawford County,5018,4093,5943,20.7,16.9,24.5,1719,1337,2101,30.4,23.6,37.2,1155,888,1422,27.8,21.4,34.2,37379,33559,41199,.,.,.,.,.,.
29,057,MO,Dade County,1387,1110,1664,18.5,14.8,22.2,425,323,527,27.1,20.6,33.6,289,216,362,23.7,17.7,29.7,37173,33467,40879,.,.,.,.,.,.
29,059,MO,Dallas County,3502,2843,4161,21.7,17.6,25.8,1233,967,1499,32.8,25.7,39.9,900,712,1088,32.2,25.5,38.9,34987,31647,38327,.,.,.,.,.,.
29,061,MO,Daviess County,1363,1076,1650,16.8,13.3,20.3,592,445,739,27.9,21,34.8,412,304,520,25.9,19.1,32.7,41610,37721,45499,.,.,.,.,.,.
29,063,MO,DeKalb County,1697,1324,2070,18.6,14.5,22.7,418,327,509,19.9,15.6,24.2,296,231,361,19,14.9,23.1,42174,38027,46321,.,.,.,.,.,.
29,065,MO,Dent County,3322,2637,4007,21.6,17.2,26,1108,842,1374,31.8,24.2,39.4,748,557,939,29.3,21.8,36.8,34411,31191,37631,.,.,.,.,.,.
29,067,MO,Douglas County,3078,2422,3734,23,18.1,27.9,991,755,1227,35,26.7,43.3,677,508,846,32.7,24.5,40.9,31805,28879,34731,.,.,.,.,.,.
29,069,MO,Dunklin County,9098,7851,10345,29.8,25.7,33.9,3283,2710,3856,41.5,34.3,48.7,2263,1846,2680,40.1,32.7,47.5,31486,28552,34420,.,.,.,.,.,.
29,071,MO,Franklin County,11919,10056,13782,11.8,10,13.6,3808,2995,4621,16.2,12.8,19.6,2604,2010,3198,15.1,11.7,18.5,51978,49012,54944,.,.,.,.,.,.
29,073,MO,Gasconade County,1961,1557,2365,13.5,10.7,16.3,611,462,760,19.8,15,24.6,424,316,532,18.2,13.6,22.8,44065,40063,48067,.,.,.,.,.,.
29,075,MO,Gentry County,1030,816,1244,15.4,12.2,18.6,363,274,452,22,16.6,27.4,253,188,318,22,16.3,27.7,39444,35477,43411,.,.,.,.,.,.
29,077,MO,Greene County,56481,52370,60592,20.6,19.1,22.1,13951,11875,16027,23.9,20.3,27.5,8719,7106,10332,21.2,17.3,25.1,40386,38181,42591,.,.,.,.,.,.
29,079,MO,Grundy County,1890,1515,2265,19.2,15.4,23,639,490,788,27.4,21,33.8,422,318,526,25.8,19.4,32.2,37911,35223,40599,.,.,.,.,.,.
29,081,MO,Harrison County,1609,1327,1891,19,15.7,22.3,557,425,689,26.6,20.3,32.9,368,274,462,24.5,18.2,30.8,37486,33862,41110,.,.,.,.,.,.
29,083,MO,Henry County,3980,3336,4624,18.3,15.3,21.3,1244,959,1529,26.1,20.1,32.1,837,630,1044,24.2,18.2,30.2,39232,35888,42576,.,.,.,.,.,.
29,085,MO,Hickory County,2014,1565,2463,22.1,17.2,27,600,454,746,39.5,29.9,49.1,416,309,523,36.1,26.8,45.4,33707,31034,36380,.,.,.,.,.,.
29,087,MO,Holt County,636,500,772,14.4,11.3,17.5,192,146,238,21.6,16.4,26.8,132,99,165,20.2,15.2,25.2,41652,37807,45497,.,.,.,.,.,.
29,089,MO,Howard County,1479,1167,1791,15.6,12.3,18.9,488,376,600,22.8,17.6,28,325,246,404,20.9,15.8,26,44188,40541,47835,.,.,.,.,.,.
29,091,MO,Howell County,8706,7259,10153,22.1,18.4,25.8,2909,2254,3564,30.6,23.7,37.5,1976,1500,2452,28.7,21.8,35.6,32662,29740,35584,.,.,.,.,.,.
29,093,MO,Iron County,2201,1755,2647,22.1,17.6,26.6,715,546,884,32.9,25.1,40.7,496,375,617,31.8,24.1,39.5,33091,30077,36105,.,.,.,.,.,.
29,095,MO,Jackson County,111130,103121,119139,16.5,15.3,17.7,37672,33478,41866,23.5,20.9,26.1,23647,20523,26771,20.8,18.1,23.5,46185,44327,48043,.,.,.,.,.,.
29,097,MO,Jasper County,22445,19697,25193,19.6,17.2,22,7330,6038,8622,25.2,20.8,29.6,4622,3631,5613,22.3,17.5,27.1,40047,37105,42989,.,.,.,.,.,.
29,099,MO,Jefferson County,23387,20078,26696,10.6,9.1,12.1,7778,6358,9198,14.9,12.2,17.6,5007,3981,6033,13.1,10.4,15.8,58976,56398,61554,.,.,.,.,.,.
29,101,MO,Johnson County,7338,6017,8659,14.6,12,17.2,1951,1473,2429,16.9,12.8,21,1324,990,1658,16.4,12.3,20.5,49949,46353,53545,.,.,.,.,.,.
29,103,MO,Knox County,757,589,925,19.4,15.1,23.7,316,238,394,33.6,25.4,41.8,223,166,280,33,24.5,41.5,37581,33930,41232,.,.,.,.,.,.
29,105,MO,Laclede County,6412,5165,7659,18.4,14.8,22,2214,1682,2746,26.1,19.8,32.4,1501,1119,1883,24.3,18.1,30.5,36895,33174,40616,.,.,.,.,.,.
29,107,MO,Lafayette County,4278,3526,5030,13.4,11,15.8,1487,1185,1789,20.1,16,24.2,1049,833,1265,19.1,15.2,23,48128,45625,50631,.,.,.,.,.,.
29,109,MO,Lawrence County,6938,5723,8153,18.6,15.3,21.9,2566,1997,3135,27.2,21.2,33.2,1769,1363,2175,25.3,19.5,31.1,39908,36266,43550,.,.,.,.,.,.
29,111,MO,Lewis County,1341,1029,1653,14.3,11,17.6,518,388,648,23,17.2,28.8,354,261,447,21.1,15.6,26.6,41891,37732,46050,.,.,.,.,.,.
29,113,MO,Lincoln County,8376,7326,9426,15.7,13.7,17.7,2911,2451,3371,20.8,17.5,24.1,1993,1649,2337,19.3,16,22.6,53804,48762,58846,.,.,.,.,.,.
29,115,MO,Linn County,2419,1996,2842,20,16.5,23.5,851,683,1019,29.8,23.9,35.7,567,445,689,26.1,20.5,31.7,37597,33953,41241,.,.,.,.,.,.
29,117,MO,Livingston County,2232,1754,2710,16.6,13,20.2,739,561,917,23.8,18.1,29.5,507,381,633,22.6,17,28.2,47937,45371,50503,.,.,.,.,.,.
29,119,MO,McDonald County,4992,4062,5922,22.2,18.1,26.3,1888,1448,2328,32.3,24.8,39.8,1276,962,1590,29.4,22.2,36.6,34863,31372,38354,.,.,.,.,.,.
29,121,MO,Macon County,2569,2069,3069,17,13.7,20.3,917,712,1122,25.6,19.9,31.3,633,486,780,23.7,18.2,29.2,35345,32921,37769,.,.,.,.,.,.
29,123,MO,Madison County,2473,1957,2989,20.4,16.1,24.7,830,628,1032,30.2,22.9,37.5,572,430,714,28.2,21.2,35.2,35363,31962,38764,.,.,.,.,.,.
29,125,MO,Maries County,1428,1125,1731,16.1,12.7,19.5,458,349,567,24,18.3,29.7,313,234,392,20.9,15.6,26.2,40165,36244,44086,.,.,.,.,.,.
29,127,MO,Marion County,4965,4154,5776,18,15.1,20.9,1709,1387,2031,25.8,20.9,30.7,1121,878,1364,23.3,18.3,28.3,42088,38514,45662,.,.,.,.,.,.
29,129,MO,Mercer County,549,428,670,15,11.7,18.3,196,147,245,22.1,16.6,27.6,140,104,176,20.7,15.3,26.1,38023,34145,41901,.,.,.,.,.,.
29,131,MO,Miller County,4303,3375,5231,17.4,13.7,21.1,1542,1176,1908,26.6,20.3,32.9,1073,812,1334,25.1,19,31.2,37360,33824,40896,.,.,.,.,.,.
29,133,MO,Mississippi County,3951,3248,4654,32.2,26.5,37.9,1249,973,1525,40.1,31.2,49,857,654,1060,39.5,30.2,48.8,30661,27905,33417,.,.,.,.,.,.
29,135,MO,Moniteau County,2008,1594,2422,13.9,11,16.8,786,603,969,20.2,15.5,24.9,555,423,687,19.4,14.8,24,47158,43104,51212,.,.,.,.,.,.
29,137,MO,Monroe County,1353,1079,1627,15.8,12.6,19,479,366,592,24.9,19,30.8,328,246,410,22.4,16.8,28,41376,37346,45406,.,.,.,.,.,.
29,139,MO,Montgomery County,1830,1434,2226,16.1,12.6,19.6,637,484,790,24.5,18.6,30.4,435,326,544,22.9,17.2,28.6,42105,37888,46322,.,.,.,.,.,.
29,141,MO,Morgan County,4112,3310,4914,20.7,16.7,24.7,1375,1048,1702,31.5,24,39,925,690,1160,29.4,21.9,36.9,36867,33271,40463,.,.,.,.,.,.
29,143,MO,New Madrid County,4160,3349,4971,23.3,18.8,27.8,1402,1077,1727,32.9,25.3,40.5,936,708,1164,29.6,22.4,36.8,34631,31696,37566,.,.,.,.,.,.
29,145,MO,Newton County,8198,6654,9742,14.3,11.6,17,2853,2118,3588,20.4,15.1,25.7,1950,1416,2484,18.9,13.7,24.1,45448,43333,47563,.,.,.,.,.,.
29,147,MO,Nodaway County,3949,3395,4503,20.2,17.4,23,645,513,777,17.4,13.8,21,423,327,519,15.9,12.3,19.5,42956,39041,46871,.,.,.,.,.,.
29,149,MO,Oregon County,2560,2004,3116,23.9,18.7,29.1,905,685,1125,38.2,28.9,47.5,605,446,764,35.3,26,44.6,29415,26680,32150,.,.,.,.,.,.
29,151,MO,Osage County,1358,1062,1654,10.2,8,12.4,414,315,513,13,9.9,16.1,281,211,351,11.7,8.8,14.6,51958,47327,56589,.,.,.,.,.,.
29,153,MO,Ozark County,2098,1639,2557,22.3,17.4,27.2,640,476,804,35,26,44,442,325,559,31.8,23.4,40.2,31025,27818,34232,.,.,.,.,.,.
29,155,MO,Pemiscot County,4998,4143,5853,28.7,23.8,33.6,1870,1460,2280,40.2,31.4,49,1316,1025,1607,39.8,31,48.6,32120,29736,34504,.,.,.,.,.,.
29,157,MO,Perry County,2194,1710,2678,11.6,9,14.2,729,554,904,16.3,12.4,20.2,496,370,622,14.9,11.1,18.7,50548,46329,54767,.,.,.,.,.,.
29,159,MO,Pettis County,7239,5961,8517,17.6,14.5,20.7,2700,2141,3259,26.4,20.9,31.9,1835,1435,2235,24.9,19.5,30.3,40038,36700,43376,.,.,.,.,.,.
29,161,MO,Phelps County,9019,7648,10390,21.6,18.3,24.9,2377,1865,2889,26.1,20.5,31.7,1547,1185,1909,23.7,18.1,29.3,40710,37079,44341,.,.,.,.,.,.
29,163,MO,Pike County,3058,2368,3748,18.9,14.6,23.2,1052,795,1309,26.7,20.2,33.2,735,545,925,25.8,19.1,32.5,44408,41629,47187,.,.,.,.,.,.
29,165,MO,Platte County,6487,5208,7766,6.9,5.5,8.3,2089,1619,2559,9.4,7.3,11.5,1380,1058,1702,8.4,6.5,10.3,70874,66817,74931,.,.,.,.,.,.
29,167,MO,Polk County,5348,4239,6457,18.1,14.3,21.9,1933,1471,2395,27.6,21,34.2,1328,996,1660,25.8,19.4,32.2,38344,35629,41059,.,.,.,.,.,.
29,169,MO,Pulaski County,6899,5501,8297,15.9,12.7,19.1,2194,1696,2692,18.6,14.4,22.8,1447,1096,1798,18.2,13.8,22.6,47227,43133,51321,.,.,.,.,.,.
29,171,MO,Putnam County,888,701,1075,18.6,14.7,22.5,279,212,346,27.7,21.1,34.3,194,146,242,25.3,19,31.6,34684,31321,38047,.,.,.,.,.,.
29,173,MO,Ralls County,1186,937,1435,11.6,9.2,14,368,279,457,16.7,12.7,20.7,250,188,312,15,11.3,18.7,51738,47258,56218,.,.,.,.,.,.
29,175,MO,Randolph County,4131,3305,4957,18.3,14.6,22,1419,1091,1747,26.3,20.2,32.4,979,741,1217,24.8,18.8,30.8,41346,37285,45407,.,.,.,.,.,.
29,177,MO,Ray County,3456,2973,3939,15.3,13.2,17.4,1047,846,1248,19.9,16.1,23.7,671,526,816,16.7,13.1,20.3,51986,47565,56407,.,.,.,.,.,.
29,179,MO,Reynolds County,1382,1069,1695,21.5,16.6,26.4,432,325,539,33.6,25.3,41.9,295,218,372,30.7,22.7,38.7,31820,28521,35119,.,.,.,.,.,.
29,181,MO,Ripley County,3466,2744,4188,25.1,19.9,30.3,1127,851,1403,36.9,27.9,45.9,738,542,934,34.7,25.5,43.9,30019,26992,33046,.,.,.,.,.,.
29,183,MO,St. Charles County,25281,21951,28611,6.8,5.9,7.7,8096,6748,9444,8.9,7.4,10.4,5350,4385,6315,7.9,6.5,9.3,74220,71273,77167,.,.,.,.,.,.
29,185,MO,St. Clair County,2002,1571,2433,21.7,17,26.4,597,450,744,33.8,25.5,42.1,411,307,515,31.6,23.6,39.6,33986,30685,37287,.,.,.,.,.,.
29,186,MO,Ste. Genevieve County,2310,1878,2742,13.1,10.6,15.6,718,559,877,18.5,14.4,22.6,489,378,600,16.9,13.1,20.7,46874,42875,50873,.,.,.,.,.,.
29,187,MO,St. Francois County,11974,9898,14050,20.3,16.8,23.8,3612,2794,4430,26.3,20.3,32.3,2393,1808,2978,23.7,17.9,29.5,40376,37517,43235,.,.,.,.,.,.
29,189,MO,St. Louis County,93882,84871,102893,9.6,8.7,10.5,30191,25645,34737,13.7,11.6,15.8,20483,16906,24060,12.6,10.4,14.8,60093,58388,61798,.,.,.,.,.,.
29,195,MO,Saline County,3574,2886,4262,16.3,13.2,19.4,1191,922,1460,23,17.8,28.2,782,586,978,21.1,15.8,26.4,41112,37826,44398,.,.,.,.,.,.
29,197,MO,Schuyler County,779,604,954,18.2,14.1,22.3,315,235,395,29.5,22,37,220,160,280,27.3,19.9,34.7,34644,31400,37888,.,.,.,.,.,.
29,199,MO,Scotland County,774,599,949,16.3,12.6,20,335,253,417,24.9,18.8,31,230,171,289,24.2,17.9,30.5,38281,34415,42147,.,.,.,.,.,.
29,201,MO,Scott County,7972,6689,9255,20.9,17.5,24.3,2821,2291,3351,31,25.2,36.8,1743,1360,2126,27.2,21.2,33.2,40532,37696,43368,.,.,.,.,.,.
29,203,MO,Shannon County,2324,1869,2779,28.2,22.7,33.7,865,690,1040,47.8,38.1,57.5,588,464,712,43.5,34.3,52.7,27382,24625,30139,.,.,.,.,.,.
29,205,MO,Shelby County,979,775,1183,16.6,13.1,20.1,324,251,397,24.1,18.7,29.5,214,160,268,21.5,16.1,26.9,42498,38535,46461,.,.,.,.,.,.
29,207,MO,Stoddard County,5577,4571,6583,19,15.6,22.4,1716,1339,2093,26.4,20.6,32.2,1125,859,1391,23.6,18,29.2,38329,35068,41590,.,.,.,.,.,.
29,209,MO,Stone County,4973,3978,5968,16.2,13,19.4,1488,1122,1854,27.9,21,34.8,1062,797,1327,26.4,19.8,33,40642,37446,43838,.,.,.,.,.,.
29,211,MO,Sullivan County,1113,867,1359,17.7,13.8,21.6,360,272,448,25,18.9,31.1,241,178,304,22.7,16.8,28.6,36642,33409,39875,.,.,.,.,.,.
29,213,MO,Taney County,9819,8270,11368,18.7,15.8,21.6,3235,2556,3914,28.7,22.7,34.7,2237,1753,2721,27.6,21.6,33.6,35731,32723,38739,.,.,.,.,.,.
29,215,MO,Texas County,5097,3974,6220,21.5,16.8,26.2,1752,1330,2174,32.8,24.9,40.7,1249,947,1551,32,24.3,39.7,33755,30359,37151,.,.,.,.,.,.
29,217,MO,Vernon County,3558,2772,4344,17.5,13.6,21.4,1316,995,1637,26.8,20.3,33.3,872,649,1095,24.3,18.1,30.5,40267,37762,42772,.,.,.,.,.,.
29,219,MO,Warren County,4222,3454,4990,12.8,10.5,15.1,1541,1197,1885,19.4,15.1,23.7,969,719,1219,16.5,12.3,20.7,52959,47679,58239,.,.,.,.,.,.
29,221,MO,Washington County,6088,5004,7172,25.5,21,30,2217,1799,2635,39.3,31.9,46.7,1476,1173,1779,35.4,28.1,42.7,34581,31699,37463,.,.,.,.,.,.
29,223,MO,Wayne County,3504,2778,4230,26.4,20.9,31.9,1112,852,1372,40.8,31.2,50.4,763,576,950,39.9,30.1,49.7,30721,28071,33371,.,.,.,.,.,.
29,225,MO,Webster County,6386,5164,7608,17.8,14.4,21.2,2783,2107,3459,28.1,21.3,34.9,1936,1438,2434,26.2,19.5,32.9,41561,38086,45036,.,.,.,.,.,.
29,227,MO,Worth County,313,245,381,15.5,12.1,18.9,87,66,108,20.8,15.8,25.8,58,43,73,20,14.9,25.1,38802,34794,42810,.,.,.,.,.,.
29,229,MO,Wright County,4096,3229,4963,22.7,17.9,27.5,1510,1115,1905,33.7,24.9,42.5,1046,762,1330,31.3,22.8,39.8,31600,28710,34490,.,.,.,.,.,.
29,510,MO,St. Louis city,88571,82486,94656,28.8,26.8,30.8,27003,23789,30217,42.9,37.8,48,18442,16178,20706,44.1,38.7,49.5,35681,34114,37248,.,.,.,.,.,.